B1.month,B1.day_type,B1.hour,B1.outdoor_dry_bulb_temperature,B1.outdoor_dry_bulb_temperature_predicted_6h,B1.outdoor_dry_bulb_temperature_predicted_12h,B1.outdoor_dry_bulb_temperature_predicted_24h,B1.outdoor_relative_humidity,B1.outdoor_relative_humidity_predicted_6h,B1.outdoor_relative_humidity_predicted_12h,B1.outdoor_relative_humidity_predicted_24h,B1.diffuse_solar_irradiance,B1.diffuse_solar_irradiance_predicted_6h,B1.diffuse_solar_irradiance_predicted_12h,B1.diffuse_solar_irradiance_predicted_24h,B1.direct_solar_irradiance,B1.direct_solar_irradiance_predicted_6h,B1.direct_solar_irradiance_predicted_12h,B1.direct_solar_irradiance_predicted_24h,B1.carbon_intensity,B1.non_shiftable_load,B1.solar_generation,B1.electrical_storage_soc,B1.net_electricity_consumption,B1.electricity_pricing,B1.electricity_pricing_predicted_6h,B1.electricity_pricing_predicted_12h,B1.electricity_pricing_predicted_24h,B2.month,B2.day_type,B2.hour,B2.outdoor_dry_bulb_temperature,B2.outdoor_dry_bulb_temperature_predicted_6h,B2.outdoor_dry_bulb_temperature_predicted_12h,B2.outdoor_dry_bulb_temperature_predicted_24h,B2.outdoor_relative_humidity,B2.outdoor_relative_humidity_predicted_6h,B2.outdoor_relative_humidity_predicted_12h,B2.outdoor_relative_humidity_predicted_24h,B2.diffuse_solar_irradiance,B2.diffuse_solar_irradiance_predicted_6h,B2.diffuse_solar_irradiance_predicted_12h,B2.diffuse_solar_irradiance_predicted_24h,B2.direct_solar_irradiance,B2.direct_solar_irradiance_predicted_6h,B2.direct_solar_irradiance_predicted_12h,B2.direct_solar_irradiance_predicted_24h,B2.carbon_intensity,B2.non_shiftable_load,B2.solar_generation,B2.electrical_storage_soc,B2.net_electricity_consumption,B2.electricity_pricing,B2.electricity_pricing_predicted_6h,B2.electricity_pricing_predicted_12h,B2.electricity_pricing_predicted_24h,B3.month,B3.day_type,B3.hour,B3.outdoor_dry_bulb_temperature,B3.outdoor_dry_bulb_temperature_predicted_6h,B3.outdoor_dry_bulb_temperature_predicted_12h,B3.outdoor_dry_bulb_temperature_predicted_24h,B3.outdoor_relative_humidity,B3.outdoor_relative_humidity_predicted_6h,B3.outdoor_relative_humidity_predicted_12h,B3.outdoor_relative_humidity_predicted_24h,B3.diffuse_solar_irradiance,B3.diffuse_solar_irradiance_predicted_6h,B3.diffuse_solar_irradiance_predicted_12h,B3.diffuse_solar_irradiance_predicted_24h,B3.direct_solar_irradiance,B3.direct_solar_irradiance_predicted_6h,B3.direct_solar_irradiance_predicted_12h,B3.direct_solar_irradiance_predicted_24h,B3.carbon_intensity,B3.non_shiftable_load,B3.solar_generation,B3.electrical_storage_soc,B3.net_electricity_consumption,B3.electricity_pricing,B3.electricity_pricing_predicted_6h,B3.electricity_pricing_predicted_12h,B3.electricity_pricing_predicted_24h,B4.month,B4.day_type,B4.hour,B4.outdoor_dry_bulb_temperature,B4.outdoor_dry_bulb_temperature_predicted_6h,B4.outdoor_dry_bulb_temperature_predicted_12h,B4.outdoor_dry_bulb_temperature_predicted_24h,B4.outdoor_relative_humidity,B4.outdoor_relative_humidity_predicted_6h,B4.outdoor_relative_humidity_predicted_12h,B4.outdoor_relative_humidity_predicted_24h,B4.diffuse_solar_irradiance,B4.diffuse_solar_irradiance_predicted_6h,B4.diffuse_solar_irradiance_predicted_12h,B4.diffuse_solar_irradiance_predicted_24h,B4.direct_solar_irradiance,B4.direct_solar_irradiance_predicted_6h,B4.direct_solar_irradiance_predicted_12h,B4.direct_solar_irradiance_predicted_24h,B4.carbon_intensity,B4.non_shiftable_load,B4.solar_generation,B4.electrical_storage_soc,B4.net_electricity_consumption,B4.electricity_pricing,B4.electricity_pricing_predicted_6h,B4.electricity_pricing_predicted_12h,B4.electricity_pricing_predicted_24h,B5.month,B5.day_type,B5.hour,B5.outdoor_dry_bulb_temperature,B5.outdoor_dry_bulb_temperature_predicted_6h,B5.outdoor_dry_bulb_temperature_predicted_12h,B5.outdoor_dry_bulb_temperature_predicted_24h,B5.outdoor_relative_humidity,B5.outdoor_relative_humidity_predicted_6h,B5.outdoor_relative_humidity_predicted_12h,B5.outdoor_relative_humidity_predicted_24h,B5.diffuse_solar_irradiance,B5.diffuse_solar_irradiance_predicted_6h,B5.diffuse_solar_irradiance_predicted_12h,B5.diffuse_solar_irradiance_predicted_24h,B5.direct_solar_irradiance,B5.direct_solar_irradiance_predicted_6h,B5.direct_solar_irradiance_predicted_12h,B5.direct_solar_irradiance_predicted_24h,B5.carbon_intensity,B5.non_shiftable_load,B5.solar_generation,B5.electrical_storage_soc,B5.net_electricity_consumption,B5.electricity_pricing,B5.electricity_pricing_predicted_6h,B5.electricity_pricing_predicted_12h,B5.electricity_pricing_predicted_24h
7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,2.27579999,0,0,2.27579999,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,2.18875003,0,0,2.18875003,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,1.00962318e-07,0,0,1.00962318e-07,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,2.81914997,0,0,2.81914997,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,0.771433353,0,0,0.771433353,0.219999999,0.219999999,0.219999999,0.219999999
8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,0.851166666,0,0,0.851166666,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,1.37066662,0,0,1.37066662,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,1.01852415e-07,0,0,1.01852415e-07,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,1.92816663,0,0,1.92816663,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,0.515883327,0,0,0.515883327,0.219999999,0.219999999,0.219999999,0.219999999
8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,0.834599972,0,0,0.834599972,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,1.10125005,0,0,1.10125005,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,1.00835166e-07,0,0,1.00835166e-07,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,0.475816667,0,0,0.475816667,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,0.503050029,0,0,0.503050029,0.219999999,0.219999999,0.219999999,0.219999999
8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.838166654,0,0,0.838166654,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.543216646,0,0,0.543216646,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,1.00708007e-07,0,0,1.00708007e-07,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.458233327,0,0,0.458233327,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.535950005,0,0,0.535950005,0.219999999,0.219999999,0.219999999,0.219999999
8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,1.47843337,0,0,1.47843337,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,0.542833328,0,0,0.542833328,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,1.01598104e-07,0,0,1.01598104e-07,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,0.446016669,0,0,0.446016669,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,0.512616694,0,0,0.512616694,0.219999999,0.219999999,0.540000021,0.219999999
8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,1.25619996,0,0,1.25619996,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,1.51243329,0,0,1.51243329,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,9.94364413e-08,0,0,9.94364413e-08,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,0.465883344,0,0,0.465883344,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,0.303216666,0,0,0.303216666,0.219999999,0.219999999,0.540000021,0.219999999
8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,1.86951661,0.0580166653,0,1.81149995,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.348683327,0.0224333331,0,0.326249987,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,1.04216731e-07,0.0272833332,0,-0.0272832289,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.671066642,0.0339333341,0,0.63713336,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.495783329,0.117200002,0,0.378583342,0.219999999,0.219999999,0.540000021,0.219999999
8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.808816671,0.446083337,0,0.362733334,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.678616643,0.118000001,0,0.560616672,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,1.00638466e-07,0.136700004,0,-0.1366999,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.844716668,0.145766661,0,0.698949993,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.980499983,0.705749989,0,0.274749994,0.219999999,0.219999999,0.540000021,0.219999999
8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,0.615966678,1.10588336,0,-0.489916652,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,1.50650001,0.387016654,0,1.11948335,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,0.40593338,0.440466672,0,-0.0345332995,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,2.59326673,0.440699995,0,2.15256667,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,1.29958332,1.3696667,0,-0.070083335,0.219999999,0.219999999,0.540000021,0.219999999
8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,0.627233326,1.81210005,0,-1.18486667,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,1.65211666,0.901816666,0,0.75029999,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,0.129316762,0.999450028,0,-0.870133221,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,2.70088339,1.01186669,0,1.6890167,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,1.67879999,1.93328333,0,-0.254483342,0.219999999,0.219999999,0.219999999,0.219999999
