case_id,attack,window,severity,cohort,method,terminal,attempts,inspections,selected_building,selected_channel,true_building,record_alarm,joint_location_channel,calls,invalid_calls,input_tokens,output_tokens,model_seconds,graph_wall_seconds,decision_source,error_before,error_after,improved,harmed,unchanged,collateral_error,changed_entries,target_rmse_before,target_rmse_after
clean_w1,,1,clean,phase_1,llama_one_pass,abstained,0,0,0,none,,False,False,0,0,0,0,0.0,0.01192290400013,llama_live,0.0,0.0,False,False,True,0.0,0,,
clean_w1,,1,clean,phase_1,llama_langgraph,abstained,0,0,0,none,,False,False,0,0,0,0,0.0,0.0095887059997039,llama_live,0.0,0.0,False,False,True,0.0,0,,
mild_market_hack_b2_w1,market_hack,1,mild,phase_1,llama_one_pass,committed,1,0,2,electricity_pricing,2.0,True,True,2,0,1256,81,13.96679222199964,13.98963654499994,llama_live,4.972775501593466e-05,1.2320062286814328e-08,True,False,False,0.0,166,0.045056476028505,0.0007091926838089
mild_market_hack_b2_w1,market_hack,1,mild,phase_1,llama_langgraph,committed,1,0,2,electricity_pricing,2.0,True,True,2,0,1252,70,6.741072882000026,6.774675869000021,llama_live,4.972775501593466e-05,1.2034872755512462e-08,True,False,False,0.0,166,0.045056476028505,0.0007009362912683
mild_meter_hack_b2_w1,meter_hack,1,mild,phase_1,llama_one_pass,committed,1,0,2,non_shiftable_load,2.0,True,True,2,0,1327,74,12.296265731999938,12.342694093999851,llama_live,2.615024140107297e-05,8.488084123732581e-07,True,False,False,0.0,138,0.1763064965301798,0.0317640083741203
mild_meter_hack_b2_w1,meter_hack,1,mild,phase_1,llama_langgraph,committed,1,0,2,non_shiftable_load,2.0,True,True,2,0,1325,65,6.960005636000005,7.0037912989996585,llama_live,2.615024140107297e-05,8.488084123732581e-07,True,False,False,0.0,138,0.1763064965301798,0.0317640083741203
mild_inverter_hack_b2_w1,inverter_hack,1,mild,phase_1,llama_one_pass,committed,1,0,2,solar_generation,2.0,True,True,2,0,1323,68,11.070753388999949,11.10962673200038,llama_live,0.0001509459151832,6.279632884160098e-07,True,False,False,0.0,66,0.3172786800064172,0.0204643207956482
mild_inverter_hack_b2_w1,inverter_hack,1,mild,phase_1,llama_langgraph,committed,1,0,2,solar_generation,2.0,True,True,2,0,1323,68,7.748352309000438,7.776791876000061,llama_live,0.0001509459151832,6.279632884160098e-07,True,False,False,0.0,66,0.3172786800064172,0.0204643207956482
mild_time_spoofing_b2_w1,time_spoofing,1,mild,phase_1,llama_one_pass,committed,1,0,2,hour,2.0,True,True,2,0,1247,73,12.171002995999515,12.213892485999622,llama_live,1.2400793650793647e-05,0.0,True,False,False,0.0,168,1.0,0.0
mild_time_spoofing_b2_w1,time_spoofing,1,mild,phase_1,llama_langgraph,committed,1,0,2,hour,2.0,True,True,2,0,1248,74,6.444638387000396,6.476501542999813,llama_live,1.2400793650793647e-05,0.0,True,False,False,0.0,168,1.0,0.0
original_market_hack_b3_w1,market_hack,1,original,phase_1,llama_one_pass,committed,1,0,3,electricity_pricing,3.0,True,True,2,0,1260,87,11.263147724000191,11.302347764000388,llama_live,0.0003537005257868,2.8944881486877846e-10,True,False,False,0.0,168,0.120164351669985,0.0001087035388443
original_market_hack_b3_w1,market_hack,1,original,phase_1,llama_langgraph,committed,1,0,3,electricity_pricing,3.0,True,True,2,0,1258,92,8.05103119200021,8.078882224000154,llama_live,0.0003537005257868,2.8944881486877846e-10,True,False,False,0.0,168,0.120164351669985,0.0001087035388443
original_meter_hack_b3_w1,meter_hack,1,original,phase_1,llama_one_pass,committed,1,0,3,non_shiftable_load,3.0,True,True,2,0,1329,69,11.983515697000255,12.058721835000142,llama_live,4.471961485388274e-05,7.563349175090247e-08,True,False,False,0.0,162,0.2093182602858906,0.0086082558156148
original_meter_hack_b3_w1,meter_hack,1,original,phase_1,llama_langgraph,committed,1,0,3,non_shiftable_load,3.0,True,True,2,0,1333,84,9.868289131999973,9.903307907999988,llama_live,4.471961485388274e-05,7.563349175090247e-08,True,False,False,0.0,162,0.2093182602858906,0.0086082558156148
original_inverter_hack_b3_w1,inverter_hack,1,original,phase_1,llama_one_pass,committed,1,0,3,solar_generation,3.0,True,True,2,0,1323,72,14.115699494000182,14.160790359999735,llama_live,0.0011321789831,2.7156321693220458e-08,True,False,False,0.0,79,0.9403230958650536,0.0046052692989979
original_inverter_hack_b3_w1,inverter_hack,1,original,phase_1,llama_langgraph,committed,1,0,3,solar_generation,3.0,True,True,2,0,1323,71,6.736813299000005,6.768947856000068,llama_live,0.0011321789831,2.7156321693220458e-08,True,False,False,0.0,79,0.9403230958650536,0.0046052692989979
original_time_spoofing_b3_w1,time_spoofing,1,original,phase_1,llama_one_pass,committed,1,0,3,hour,3.0,True,True,2,0,1250,78,11.59373879299983,11.643940173999908,llama_live,0.0001984126984126,0.0,True,False,False,0.0,168,4.0,0.0
original_time_spoofing_b3_w1,time_spoofing,1,original,phase_1,llama_langgraph,committed,1,0,3,hour,3.0,True,True,2,0,1250,78,5.922012589000133,5.937906616999953,llama_live,0.0001984126984126,0.0,True,False,False,0.0,168,4.0,0.0
overreport_market_hack_b4_w1,market_hack,1,overreport,phase_1,llama_one_pass,committed,1,0,4,electricity_pricing,4.0,True,True,2,0,1256,81,10.645002478000151,10.679089928000394,llama_live,0.0001950100898122,3.86079938253923e-09,True,False,False,0.0,167,0.0892249546886252,0.0003970053986015
overreport_market_hack_b4_w1,market_hack,1,overreport,phase_1,llama_langgraph,committed,1,0,4,electricity_pricing,4.0,True,True,2,0,1252,76,6.824994684999638,6.845050370999616,llama_live,0.0001950100898122,3.86079938253923e-09,True,False,False,0.0,167,0.0892249546886252,0.0003970053986015
overreport_meter_hack_b4_w1,meter_hack,1,overreport,phase_1,llama_one_pass,committed,1,0,4,non_shiftable_load,4.0,True,True,2,0,1339,84,12.03768920399989,12.062949312,llama_live,0.0001468433956924,4.086470699533742e-18,True,False,False,0.0,168,0.3559683612473194,5.9382487294334574e-08
overreport_meter_hack_b4_w1,meter_hack,1,overreport,phase_1,llama_langgraph,committed,1,0,4,non_shiftable_load,4.0,True,True,2,0,1335,78,7.244205382999553,7.27301149699997,llama_live,0.0001468433956924,4.086470699533742e-18,True,False,False,0.0,168,0.3559683612473194,5.9382487294334574e-08
overreport_inverter_hack_b4_w1,inverter_hack,1,overreport,phase_1,llama_one_pass,committed,1,0,4,solar_generation,4.0,True,True,2,0,1328,71,11.718830440999682,11.745422464000058,llama_live,0.0005792911851206,6.373776621499604e-08,True,False,False,0.0,76,0.6939061432679388,0.0072786475758409
overreport_inverter_hack_b4_w1,inverter_hack,1,overreport,phase_1,llama_langgraph,committed,1,0,4,solar_generation,4.0,True,True,2,0,1328,73,7.246930419999899,7.287195291999978,llama_live,0.0005792911851206,6.373776621499604e-08,True,False,False,0.0,76,0.6939061432679388,0.0072786475758409
overreport_time_spoofing_b4_w1,time_spoofing,1,overreport,phase_1,llama_one_pass,committed,1,0,4,hour,4.0,True,True,2,0,1248,76,11.395662008999352,11.44125764599994,llama_live,0.0001984126984126,0.0,True,False,False,0.0,168,4.0,0.0
overreport_time_spoofing_b4_w1,time_spoofing,1,overreport,phase_1,llama_langgraph,committed,1,0,4,hour,4.0,True,True,2,0,1248,76,6.635837393000202,6.662811489999967,llama_live,0.0001984126984126,0.0,True,False,False,0.0,168,4.0,0.0
